,Title,Location,Company,Salary,Synopsis,Query,Metro
573,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
574,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
575,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
576,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
577,Investigative Analyst,"Alexandria, VA",        US Department of Defense,"
                $37,113 - $73,105 a year","            Utilizes management information and automated systems to extract, analyze, and report statistical data for investigators, senior analysts, and senior management...",data+analyst,washington+dc
578,Project Data Analyst I,"Washington, DC 20001 (Shaw area)",        Compass Strategy Solutions,None,"            Project Data Analyst I - Chantilly, VA. Complete data input assignments, prepare letters/emails. Post data to transaction sheets where employee identifies...",data+analyst,washington+dc
579,Data Analyst,"Washington, DC 20009 (U Street Corridor area)",        Virtru,None,"            As a data analyst on our team, you will be the gatekeeper of our organization’s data. Virtru is a data security company that eliminates the tradeoff between...",data+analyst,washington+dc
580,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,Analyst will support pre-go-live Data Quality. Analyze pre-go-live data conversion artifacts. 3-5 years of Data Analysis functions....,data+analyst,washington+dc
581,"Data Analyst , Marketing Intelligence","Washington, DC",        Wunderman,None,"            Understands client and vendor partner infrastructure, data fields, segmentation, data transfers, etc. and leads discussions regarding new procedures/adjustments...",data+analyst,washington+dc
582,Data Analyst,"Washington, DC 20006 (Foggy Bottom area)",        Zachary Piper Solutions,None,"            Enterprise Business Glossary, Conceptual Data Model(s), Data Models, Data Naming Standards, Enterprise Data Dictionary, Metadata Repository, Data Asset...",data+analyst,washington+dc
583,Data Ingestion Analyst,"Chevy Chase, MD",        GEICO,None,"            As a Data Ingestion Analyst in our Decision Science and Transformation team, you will be working to bring new data sources in to the Big Data Platform....",data+analyst,washington+dc
584,Data Analyst,"Rockville, MD 20850",        ZeniMax Media,None,"            The Data Analyst will be supporting a broad range of reporting and analysis needs from all facets of the business, including e-commerce, financial, and online...",data+analyst,washington+dc
585,Statistical/Data Analyst FT,"Gaithersburg, MD 20877",        Strategic Results,None,            Looking for a data analyst skilled at finding the stories data tells. Analyze large-scale data. Experience managing large data sets and performing statistical...,data+analyst,washington+dc
586,Investigative Analyst,"Washington, DC",        US Department of Justice,"
                $45,972 - $73,105 a year","            As a Investigative Analyst GS-1805-7/9, your typical work assignments may include the following:. Generate electronic case files in INTERPOL Washington's...",data+analyst,washington+dc
587,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
588,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
589,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
590,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
591,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
592,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
593,Investigative Analyst,"Alexandria, VA",        US Department of Defense,"
                $37,113 - $73,105 a year","            Utilizes management information and automated systems to extract, analyze, and report statistical data for investigators, senior analysts, and senior management...",data+analyst,washington+dc
594,Project Data Analyst I,"Washington, DC 20001 (Shaw area)",        Compass Strategy Solutions,None,"            Project Data Analyst I - Chantilly, VA. Complete data input assignments, prepare letters/emails. Post data to transaction sheets where employee identifies...",data+analyst,washington+dc
595,Data Analyst,"Washington, DC 20009 (U Street Corridor area)",        Virtru,None,"            As a data analyst on our team, you will be the gatekeeper of our organization’s data. Virtru is a data security company that eliminates the tradeoff between...",data+analyst,washington+dc
596,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,Analyst will support pre-go-live Data Quality. Analyze pre-go-live data conversion artifacts. 3-5 years of Data Analysis functions....,data+analyst,washington+dc
597,"Data Analyst , Marketing Intelligence","Washington, DC",        Wunderman,None,"            Understands client and vendor partner infrastructure, data fields, segmentation, data transfers, etc. and leads discussions regarding new procedures/adjustments...",data+analyst,washington+dc
598,Data Analyst,"Washington, DC 20006 (Foggy Bottom area)",        Zachary Piper Solutions,None,"            Enterprise Business Glossary, Conceptual Data Model(s), Data Models, Data Naming Standards, Enterprise Data Dictionary, Metadata Repository, Data Asset...",data+analyst,washington+dc
599,Data Ingestion Analyst,"Chevy Chase, MD",        GEICO,None,"            As a Data Ingestion Analyst in our Decision Science and Transformation team, you will be working to bring new data sources in to the Big Data Platform....",data+analyst,washington+dc
600,Data Analyst,"Rockville, MD 20850",        ZeniMax Media,None,"            The Data Analyst will be supporting a broad range of reporting and analysis needs from all facets of the business, including e-commerce, financial, and online...",data+analyst,washington+dc
601,Statistical/Data Analyst FT,"Gaithersburg, MD 20877",        Strategic Results,None,            Looking for a data analyst skilled at finding the stories data tells. Analyze large-scale data. Experience managing large data sets and performing statistical...,data+analyst,washington+dc
602,Investigative Analyst,"Washington, DC",        US Department of Justice,"
                $45,972 - $73,105 a year","            As a Investigative Analyst GS-1805-7/9, your typical work assignments may include the following:. Generate electronic case files in INTERPOL Washington's...",data+analyst,washington+dc
603,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
604,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
605,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            Entry is with a high school diploma or GED plus 7 years of relevant experience, or an Associate's degree plus 5 years of relevant experience, or a Bachelor's...",data+analyst,washington+dc
606,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
607,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
608,Product Modeling Analyst,None,        GEICO,None,"                            Statistical Modeling Analyst. Our GEICO Statistical Modeling Analysts earn a starting annual salary between the mid-$60,000s - $70,000 / year....",data+analyst,washington+dc
609,Investigative Analyst,"Alexandria, VA",        US Department of Defense,"
                $37,113 - $73,105 a year","            Utilizes management information and automated systems to extract, analyze, and report statistical data for investigators, senior analysts, and senior management...",data+analyst,washington+dc
610,Project Data Analyst I,"Washington, DC 20001 (Shaw area)",        Compass Strategy Solutions,None,"            Project Data Analyst I - Chantilly, VA. Complete data input assignments, prepare letters/emails. Post data to transaction sheets where employee identifies...",data+analyst,washington+dc
611,Data Analyst,"Washington, DC 20009 (U Street Corridor area)",        Virtru,None,"            As a data analyst on our team, you will be the gatekeeper of our organization’s data. Virtru is a data security company that eliminates the tradeoff between...",data+analyst,washington+dc
612,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,Analyst will support pre-go-live Data Quality. Analyze pre-go-live data conversion artifacts. 3-5 years of Data Analysis functions....,data+analyst,washington+dc
613,"Data Analyst , Marketing Intelligence","Washington, DC",        Wunderman,None,"            Understands client and vendor partner infrastructure, data fields, segmentation, data transfers, etc. and leads discussions regarding new procedures/adjustments...",data+analyst,washington+dc
614,Data Analyst,"Washington, DC 20006 (Foggy Bottom area)",        Zachary Piper Solutions,None,"            Enterprise Business Glossary, Conceptual Data Model(s), Data Models, Data Naming Standards, Enterprise Data Dictionary, Metadata Repository, Data Asset...",data+analyst,washington+dc
615,Data Ingestion Analyst,"Chevy Chase, MD",        GEICO,None,"            As a Data Ingestion Analyst in our Decision Science and Transformation team, you will be working to bring new data sources in to the Big Data Platform....",data+analyst,washington+dc
616,Data Analyst,"Rockville, MD 20850",        ZeniMax Media,None,"            The Data Analyst will be supporting a broad range of reporting and analysis needs from all facets of the business, including e-commerce, financial, and online...",data+analyst,washington+dc
617,Statistical/Data Analyst FT,"Gaithersburg, MD 20877",        Strategic Results,None,            Looking for a data analyst skilled at finding the stories data tells. Analyze large-scale data. Experience managing large data sets and performing statistical...,data+analyst,washington+dc
618,Investigative Analyst,"Washington, DC",        US Department of Justice,"
                $45,972 - $73,105 a year","            As a Investigative Analyst GS-1805-7/9, your typical work assignments may include the following:. Generate electronic case files in INTERPOL Washington's...",data+analyst,washington+dc
619,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
620,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
621,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
622,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
623,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
624,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
625,Investigative Analyst,"Alexandria, VA",        US Department of Defense,"
                $37,113 - $73,105 a year","            Specialized experience is defined as: performing database searches to assist with data and trend analysis in an investigative context, preparing routine...",data+analyst,washington+dc
626,Project Data Analyst I,"Washington, DC 20001 (Shaw area)",        Compass Strategy Solutions,None,"            Perform one or more routine accounting clerical operations, such as: examining, verifying, and correcting accounting transactions to insure completeness and...",data+analyst,washington+dc
627,Data Analyst,"Washington, DC 20009 (U Street Corridor area)",        Virtru,None,"            You will be responsible for asking questions and deriving insights from a large number of data sources (eg, product instrumentation, market data) in order to...",data+analyst,washington+dc
628,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,            Provide support for active customers to analyze production related issues from Users. Support testing by developing Acceptance criteria and regression...,data+analyst,washington+dc
629,"Data Analyst , Marketing Intelligence","Washington, DC",        Wunderman,None,"            Coordinates and directs activities of outside vendors and partners (such as database partners, call center, web agency and fulfillment house, etc.) to ensure...",data+analyst,washington+dc
630,Data Analyst,"Washington, DC 20006 (Foggy Bottom area)",        Zachary Piper Solutions,None,"            Participate in building, evolving and/or maintaining: Enterprise Business Glossary, Conceptual Data Model(s), Data Models, Data Naming Standards, Enterprise...",data+analyst,washington+dc
631,Data Ingestion Analyst,"Chevy Chase, MD",        GEICO,None,"            As a Data Ingestion Analyst in our Decision Science and Transformation team, you will be working to bring new data sources in to the Big Data Platform.",data+analyst,washington+dc
632,Data Analyst,"Rockville, MD 20850",        ZeniMax Media,None,            The Analyst will also be responsible for data validation and making certain reporting aligns with the business requirements for either internally or...,data+analyst,washington+dc
633,Statistical/Data Analyst FT,"Gaithersburg, MD 20877",        Strategic Results,None,            The right candidate will be adept at identifying and recommending the most appropriate analysis and statistical methodologies to use and at determining the...,data+analyst,washington+dc
634,Investigative Analyst,"Washington, DC",        US Department of Justice,"
                $45,972 - $73,105 a year",            Operation of and the transmission of investigative information through international and domestic telecommunications systems in response to routine...,data+analyst,washington+dc
635,Data Analyst,None,        Chenega Corporation,None,"                            The Data Analyst will analyze a large variety of documents to ensure proper placement in physical files, perform high-level scanning of master file documents...",data+analyst,washington+dc
636,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"                            The employee is required to aggregate multiple sources of data from large datasets, extract insights, develop recommendations, create visualizations, and...",data+analyst,washington+dc
637,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            They provide the most complete possible foreign signals intelligence picture to U.S. policy makers and military commanders, and seek creative solutions to...",data+analyst,washington+dc
638,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Respond to member requests for information about the machine tool and related industries, including end-user industries, as well as information about general...",data+analyst,washington+dc
639,Data Analyst,None,        Callahan & Associates,None,"                            You will be able to reach beyond your technical skills to assist other teams to pull reports, understand our data infrastructure, analyze new projects’ data...",data+analyst,washington+dc
640,Product Modeling Analyst,None,        GEICO,None,"                            Identify customer risk profiles, model shopping behavior, identify potential underwriting fraud and evaluate new data sources",data+analyst,washington+dc
641,Investigative Analyst,"Alexandria, VA",        US Department of Defense,"
                $37,113 - $73,105 a year","            Utilizes management information and automated systems to extract, analyze, and report statistical data for investigators, senior analysts, and senior management...",data+analyst,washington+dc
642,Project Data Analyst I,"Washington, DC 20001 (Shaw area)",        Compass Strategy Solutions,None,"            Project Data Analyst I - Chantilly, VA. Complete data input assignments, prepare letters/emails. Post data to transaction sheets where employee identifies...",data+analyst,washington+dc
643,Data Analyst,"Washington, DC 20009 (U Street Corridor area)",        Virtru,None,"            As a data analyst on our team, you will be the gatekeeper of our organization’s data. Virtru is a data security company that eliminates the tradeoff between...",data+analyst,washington+dc
644,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,Analyst will support pre-go-live Data Quality. Analyze pre-go-live data conversion artifacts. 3-5 years of Data Analysis functions....,data+analyst,washington+dc
645,"Data Analyst , Marketing Intelligence","Washington, DC",        Wunderman,None,"            Understands client and vendor partner infrastructure, data fields, segmentation, data transfers, etc. and leads discussions regarding new procedures/adjustments...",data+analyst,washington+dc
646,Data Analyst,"Washington, DC 20006 (Foggy Bottom area)",        Zachary Piper Solutions,None,"            Enterprise Business Glossary, Conceptual Data Model(s), Data Models, Data Naming Standards, Enterprise Data Dictionary, Metadata Repository, Data Asset...",data+analyst,washington+dc
647,Data Ingestion Analyst,"Chevy Chase, MD",        GEICO,None,"            As a Data Ingestion Analyst in our Decision Science and Transformation team, you will be working to bring new data sources in to the Big Data Platform....",data+analyst,washington+dc
648,Data Analyst,"Rockville, MD 20850",        ZeniMax Media,None,"            The Data Analyst will be supporting a broad range of reporting and analysis needs from all facets of the business, including e-commerce, financial, and online...",data+analyst,washington+dc
649,Statistical/Data Analyst FT,"Gaithersburg, MD 20877",        Strategic Results,None,            Looking for a data analyst skilled at finding the stories data tells. Analyze large-scale data. Experience managing large data sets and performing statistical...,data+analyst,washington+dc
650,Investigative Analyst,"Washington, DC",        US Department of Justice,"
                $45,972 - $73,105 a year","            As a Investigative Analyst GS-1805-7/9, your typical work assignments may include the following:. Generate electronic case files in INTERPOL Washington's...",data+analyst,washington+dc
651,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
652,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
653,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
654,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
655,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
656,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
657,Data Analyst,"Alexandria, VA",        The Motley Fool,None,"            You’ll work with our Motley team of BI analysts, data scientists, marketers, designers, product managers, and customer experience experts to bring new insights....",data+analyst,washington+dc
658,Data Analyst/Architect,"Washington, DC 20005 (Logan Circle area)",        IMTAS,None,"            Works in a data warehouse environment, which includes data design, database architecture, and metadata repository creation....",data+analyst,washington+dc
659,Data Analyst - FD,"Reston, VA 20190",        SyApps LLC,None,"            Perform any necessary data mapping and data lineage activities, documents information flows. Assist manager in establishing data security guidelines for data...",data+analyst,washington+dc
660,Data Analyst,"Washington, DC 20011 (Catholic University-Brookland area)",        Mary's Center,None,"            The Data Analyst is responsible for running routine quality and outcomes reports, responding the requests for data, producing routine patient panels for chronic...",data+analyst,washington+dc
661,REMEDY Data Analyst-ACTIVE SECRET CLEARANCE,"Pentagon, DC",        Intellect Solutions,"
                $60,000 - $75,000 a year",            5 years (Required). PLEASE DO NOT REPLY unless you have an ACTIVE SECURITY CLEARANCE SECRET....,data+analyst,washington+dc
662,Data Analyst,"Washington, DC 20005 (Logan Circle area)",        AVALON Consulting,None,            The Avalon Consulting Group is seeking a Data Analyst with excellent quantitative skills to provide effective data solutions for Avalon's fundraising teams....,data+analyst,washington+dc
663,Database Analyst,"Washington, DC 20301",        Partigard,"
                $100,000 a year",            Database Analyst Job Duties:. Maintains data dictionary by revising and entering definitions. 3 years (Preferred)....,data+analyst,washington+dc
664,HR Data Analyst,"Fairfax, VA 22030",        Northern Virginia Community College,None,"            Generate reportable data; This position, as part of the Data Operations Team, has a primary focus on entering data into the HR information systems, including...",data+analyst,washington+dc
665,Jr SOC Analyst - US Citizenship Required - Continuous need,"Washington, DC","        VISUAL SOFT, INC","
                $100,000 a year","            Position:Junior Security Analyst (US Citizenship is a MUST). Shift 5 – SS 7pm to 7.30am, any two days M-F from 7pm to 3.30am....",data+analyst,washington+dc
666,Marketing Data Analyst,"Washington, DC 20005 (Logan Circle area)","        Pie Insurance, Inc.",None,"            As our first Marketing Data Analyst, you’ll help our marketing and product teams find the profitable stories awaiting discovery in our data....",data+analyst,washington+dc
667,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
668,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
669,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
670,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
671,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
672,Data Analyst,"Alexandria, VA",        The Motley Fool,None,"            You’ll work with our Motley team of BI analysts, data scientists, marketers, designers, product managers, and customer experience experts to bring new insights....",data+analyst,washington+dc
673,Data Analyst/Architect,"Washington, DC 20005 (Logan Circle area)",        IMTAS,None,"            Works in a data warehouse environment, which includes data design, database architecture, and metadata repository creation....",data+analyst,washington+dc
674,Data Analyst - FD,"Reston, VA 20190",        SyApps LLC,None,"            Perform any necessary data mapping and data lineage activities, documents information flows. Assist manager in establishing data security guidelines for data...",data+analyst,washington+dc
675,Data Analyst,"Washington, DC 20011 (Catholic University-Brookland area)",        Mary's Center,None,"            The Data Analyst is responsible for running routine quality and outcomes reports, responding the requests for data, producing routine patient panels for chronic...",data+analyst,washington+dc
676,REMEDY Data Analyst-ACTIVE SECRET CLEARANCE,"Pentagon, DC",        Intellect Solutions,"
                $60,000 - $75,000 a year",            5 years (Required). PLEASE DO NOT REPLY unless you have an ACTIVE SECURITY CLEARANCE SECRET....,data+analyst,washington+dc
677,Data Analyst,"Washington, DC 20005 (Logan Circle area)",        AVALON Consulting,None,            The Avalon Consulting Group is seeking a Data Analyst with excellent quantitative skills to provide effective data solutions for Avalon's fundraising teams....,data+analyst,washington+dc
678,Database Analyst,"Washington, DC 20301",        Partigard,"
                $100,000 a year",            Database Analyst Job Duties:. Maintains data dictionary by revising and entering definitions. 3 years (Preferred)....,data+analyst,washington+dc
679,HR Data Analyst,"Fairfax, VA 22030",        Northern Virginia Community College,None,"            Generate reportable data; This position, as part of the Data Operations Team, has a primary focus on entering data into the HR information systems, including...",data+analyst,washington+dc
680,Jr SOC Analyst - US Citizenship Required - Continuous need,"Washington, DC","        VISUAL SOFT, INC","
                $100,000 a year","            Position:Junior Security Analyst (US Citizenship is a MUST). Shift 5 – SS 7pm to 7.30am, any two days M-F from 7pm to 3.30am....",data+analyst,washington+dc
681,Marketing Data Analyst,"Washington, DC 20005 (Logan Circle area)","        Pie Insurance, Inc.",None,"            As our first Marketing Data Analyst, you’ll help our marketing and product teams find the profitable stories awaiting discovery in our data....",data+analyst,washington+dc
682,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
683,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
684,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            Entry is with a high school diploma or GED plus 7 years of relevant experience, or an Associate's degree plus 5 years of relevant experience, or a Bachelor's...",data+analyst,washington+dc
685,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
686,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
687,Product Modeling Analyst,None,        GEICO,None,"                            Statistical Modeling Analyst. Our GEICO Statistical Modeling Analysts earn a starting annual salary between the mid-$60,000s - $70,000 / year....",data+analyst,washington+dc
688,Data Analyst,"Alexandria, VA",        The Motley Fool,None,"            You’ll work with our Motley team of BI analysts, data scientists, marketers, designers, product managers, and customer experience experts to bring new insights....",data+analyst,washington+dc
689,Data Analyst/Architect,"Washington, DC 20005 (Logan Circle area)",        IMTAS,None,"            Works in a data warehouse environment, which includes data design, database architecture, and metadata repository creation....",data+analyst,washington+dc
690,Data Analyst (Jr. Level),"Washington, DC 20003 (Capitol Hill area)",        Alion Science and Technology,None,            Processes and maintains an inventory of all incoming and outgoing technical data to provide recommendations on addressing data quality issues....,data+analyst,washington+dc
691,Data Analyst - FD,"Reston, VA 20190",        SyApps LLC,None,"            Perform any necessary data mapping and data lineage activities, documents information flows. Assist manager in establishing data security guidelines for data...",data+analyst,washington+dc
692,Data Analyst,"Washington, DC 20011 (Catholic University-Brookland area)",        Mary's Center,None,"            The Data Analyst is responsible for running routine quality and outcomes reports, responding the requests for data, producing routine patient panels for chronic...",data+analyst,washington+dc
693,REMEDY Data Analyst-ACTIVE SECRET CLEARANCE,"Pentagon, DC",        Intellect Solutions,"
                $60,000 - $75,000 a year",            5 years (Required). PLEASE DO NOT REPLY unless you have an ACTIVE SECURITY CLEARANCE SECRET....,data+analyst,washington+dc
694,Data Analyst,"Washington, DC 20005 (Logan Circle area)",        AVALON Consulting,None,            The Avalon Consulting Group is seeking a Data Analyst with excellent quantitative skills to provide effective data solutions for Avalon's fundraising teams....,data+analyst,washington+dc
695,Database Analyst,"Washington, DC 20301",        Partigard,"
                $100,000 a year",            Database Analyst Job Duties:. Maintains data dictionary by revising and entering definitions. 3 years (Preferred)....,data+analyst,washington+dc
696,HR Data Analyst,"Fairfax, VA 22030",        Northern Virginia Community College,None,"            Generate reportable data; This position, as part of the Data Operations Team, has a primary focus on entering data into the HR information systems, including...",data+analyst,washington+dc
697,Jr SOC Analyst - US Citizenship Required - Continuous need,"Washington, DC","        VISUAL SOFT, INC","
                $100,000 a year","            Position:Junior Security Analyst (US Citizenship is a MUST). Shift 5 – SS 7pm to 7.30am, any two days M-F from 7pm to 3.30am....",data+analyst,washington+dc
698,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
699,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
700,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
701,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
702,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
703,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
704,Data Analyst,"Alexandria, VA",        The Motley Fool,None,"            You’ll work with our Motley team of BI analysts, data scientists, marketers, designers, product managers, and customer experience experts to bring new insights....",data+analyst,washington+dc
705,Data Analyst/Architect,"Washington, DC 20005 (Logan Circle area)",        IMTAS,None,"            Works in a data warehouse environment, which includes data design, database architecture, and metadata repository creation....",data+analyst,washington+dc
706,Data Analyst (Jr. Level),"Washington, DC 20003 (Capitol Hill area)",        Alion Science and Technology,None,            Processes and maintains an inventory of all incoming and outgoing technical data to provide recommendations on addressing data quality issues....,data+analyst,washington+dc
707,Data Analyst - FD,"Reston, VA 20190",        SyApps LLC,None,"            Perform any necessary data mapping and data lineage activities, documents information flows. Assist manager in establishing data security guidelines for data...",data+analyst,washington+dc
708,Data Analyst,"Washington, DC 20011 (Catholic University-Brookland area)",        Mary's Center,None,"            The Data Analyst is responsible for running routine quality and outcomes reports, responding the requests for data, producing routine patient panels for chronic...",data+analyst,washington+dc
709,REMEDY Data Analyst-ACTIVE SECRET CLEARANCE,"Pentagon, DC",        Intellect Solutions,"
                $60,000 - $75,000 a year",            5 years (Required). PLEASE DO NOT REPLY unless you have an ACTIVE SECURITY CLEARANCE SECRET....,data+analyst,washington+dc
710,Data Analyst,"Washington, DC 20005 (Logan Circle area)",        AVALON Consulting,None,            The Avalon Consulting Group is seeking a Data Analyst with excellent quantitative skills to provide effective data solutions for Avalon's fundraising teams....,data+analyst,washington+dc
